Series,Iteration,Average Time (ms)
Total Average Time,39,21.602564102564102
Current Action Time,39,26.5
Total Average Time,40,21.5125
Current Action Time,40,18.0
Total Average Time,41,21.646341463414632
Current Action Time,41,27.0
Total Average Time,42,21.535714285714285
Current Action Time,42,17.0
Total Average Time,43,21.441860465116278
Current Action Time,43,17.5
Total Average Time,44,21.568181818181817
Current Action Time,44,27.0
Total Average Time,45,21.455555555555556
Current Action Time,45,16.5
Total Average Time,46,21.41304347826087
Current Action Time,46,19.5
Total Average Time,47,21.48936170212766
Current Action Time,47,25.0
Total Average Time,48,21.395833333333332
Current Action Time,48,17.0
Total Average Time,49,21.316326530612244
Current Action Time,49,17.5
Total Average Time,50,21.4
Current Action Time,50,25.5
Total Average Time,51,21.313725490196077
Current Action Time,51,17.0
Total Average Time,52,21.23076923076923
Current Action Time,52,17.0
Total Average Time,53,21.330188679245282
Current Action Time,53,26.5
Total Average Time,54,21.26851851851852
Current Action Time,54,18.0
Total Average Time,55,21.09090909090909
Current Action Time,55,11.5
Total Average Time,56,21.160714285714285
Current Action Time,56,25.0
Total Average Time,57,21.096491228070175
Current Action Time,57,17.5
Total Average Time,58,21.03448275862069
Current Action Time,58,17.5
Total Average Time,59,21.135593220338983
Current Action Time,59,27.0
Total Average Time,60,21.058333333333334
Current Action Time,60,16.5
Total Average Time,61,20.983606557377048
Current Action Time,61,16.5
Total Average Time,62,21.048387096774192
Current Action Time,62,25.0
Total Average Time,63,21.015873015873016
Current Action Time,63,19.0
Total Average Time,64,20.953125
Current Action Time,64,17.0
Total Average Time,65,21.023076923076925
Current Action Time,65,25.5
Total Average Time,66,20.992424242424242
Current Action Time,66,19.0
Total Average Time,67,20.970149253731343
Current Action Time,67,19.5
Total Average Time,68,20.985294117647058
Current Action Time,68,22.0
Total Average Time,69,20.942028985507246
Current Action Time,69,18.0
Total Average Time,70,20.82857142857143
Current Action Time,70,13.0
Total Average Time,71,20.809859154929576
Current Action Time,71,19.5
Total Average Time,72,20.805555555555557
Current Action Time,72,20.5
Total Average Time,73,20.78082191780822
Current Action Time,73,19.0
Total Average Time,74,20.864864864864863
Current Action Time,74,27.0
Total Average Time,75,20.8
Current Action Time,75,16.0
Total Average Time,76,20.75657894736842
Current Action Time,76,17.5
Total Average Time,77,20.83116883116883
Current Action Time,77,26.5
Total Average Time,78,20.78846153846154
Current Action Time,78,17.5
Total Average Time,79,20.734177215189874
Current Action Time,79,16.5
Total Average Time,80,20.7875
Current Action Time,80,25.0
Total Average Time,81,20.75925925925926
Current Action Time,81,18.5
Total Average Time,82,20.713414634146343
Current Action Time,82,17.0
Total Average Time,83,20.789156626506024
Current Action Time,83,27.0
Total Average Time,84,20.738095238095237
Current Action Time,84,16.5
Total Average Time,85,20.658823529411766
Current Action Time,85,14.0
Total Average Time,86,20.709302325581394
Current Action Time,86,25.0
Total Average Time,87,20.655172413793103
Current Action Time,87,16.0
Total Average Time,88,20.551136363636363
Current Action Time,88,11.5
Total Average Time,89,20.634831460674157
Current Action Time,89,28.0
Total Average Time,90,20.572222222222223
Current Action Time,90,15.0
Total Average Time,91,20.52747252747253
Current Action Time,91,16.5
Total Average Time,92,20.592391304347824
Current Action Time,92,26.5
Total Average Time,93,20.672043010752688
Current Action Time,93,28.0
Total Average Time,94,20.670212765957448
Current Action Time,94,20.5
Total Average Time,95,20.726315789473684
Current Action Time,95,26.0
Total Average Time,96,20.708333333333332
Current Action Time,96,19.0
Total Average Time,97,20.670103092783506
Current Action Time,97,17.0
Total Average Time,98,20.729591836734695
Current Action Time,98,26.5
Total Average Time,99,20.69191919191919
Current Action Time,99,17.0
Total Average Time,100,20.66
Current Action Time,100,17.5
